"Name / Clip Identifier","Type","Flag","Camera","TC Start","Duration","Scene","Shot","Take","CDL Nodes (SOP)","Focal Length","Aperture","ND","Filter","EI/ISO","Shutter Angle","White Balance","Tint","FPS","Sensor FPS","Lens Model","Look Modified Date","Create Date","Look Name","Grading Mode","LUT Nodes","SAT Nodes","TC End","Output Colorspace","Linked Slots","QC Remark","Location","Int/Ext","Day/Night","Comment","Shooting Day","Absolute Path"
"A014C003","Movie",,"A","13:09:17.13","24","5D","3","2","(0.7606 0.7316 0.7067) (0.0023 -0.0071 -0.0302) (1.0915 1.0799 1.1358);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T03:09:41Z","2022-06-09T03:09:41Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","13:09:41.10",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C002 3.mov"
"A014C002 2","Movie",,"A","13:13:16.07","90","5E","3","1","(0.7606 0.7316 0.7067) (0.0023 -0.0071 -0.0302) (1.0915 1.0799 1.1358);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T03:14:46Z","2022-06-09T03:14:46Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","13:14:46.13",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C002 2 1.mov"
"A014C006","Movie",,"A","13:18:27.18","71","5F","3","1","(0.7606 0.7316 0.7067) (0.0023 -0.0071 -0.0302) (1.0915 1.0799 1.1358);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T03:19:39Z","2022-06-09T03:19:39Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","13:19:39.05",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C006.mov"
"A014C006 1","Movie",,"A","13:20:26.20","57","5F","3","2","(0.7606 0.7316 0.7067) (0.0023 -0.0071 -0.0302) (1.0915 1.0799 1.1358);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T03:21:23Z","2022-06-09T03:21:23Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","13:21:23.14",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C006 1.mov"
"A015C001","Movie",,"A","14:44:44.17","54","5G","3","1","(0.7587 0.7297 0.7048) (0.0091 -0.0003 -0.0234) (0.9093 0.8978 0.9536);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T04:45:39Z","2022-06-09T04:45:39Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","14:45:39.01",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A015C001.mov"
"A015C002","Movie",,"A","14:47:58.09","87","5G","3","2","(0.7587 0.7297 0.7048) (0.0091 -0.0003 -0.0234) (0.9093 0.8978 0.9536);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T04:49:25Z","2022-06-09T04:49:25Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","14:49:25.00",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A015C002.mov"
"A015C003","Movie",,"A","14:50:47.09","156","5G","3","3","(0.7587 0.7297 0.7048) (0.0091 -0.0003 -0.0234) (0.9093 0.8978 0.9536);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T04:53:23Z","2022-06-09T04:53:23Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","14:53:23.01",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A015C002 1.mov"
"A015C004","Movie",,"A","14:54:31.14","90","5G","3","4","(0.7587 0.7297 0.7048) (0.0091 -0.0003 -0.0234) (0.9093 0.8978 0.9536);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T04:56:02Z","2022-06-09T04:56:02Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","14:56:01.23",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A015C004.mov"
"A015C005","Movie",,"A","15:05:33.11","70","5G","3","5","(0.7513 0.7223 0.6974) (0.0127 0.0034 -0.0197) (1.0272 1.0156 1.0715);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T05:06:43Z","2022-06-09T05:06:43Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","15:06:43.07",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A015C005.mov"
"A015C005 1","Movie",,"A","15:19:43.15","12","5H","3","1","(0.7074 0.6785 0.6535) (0.0127 0.0034 -0.0197) (1.1171 1.1055 1.1614);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,"ND0.6 + 0.3","400","172.8°","5600 K",,"24",,,"2022-06-09T05:19:55Z","2022-06-09T05:19:55Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","15:19:55.09",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A015C005 1.mov"
"A016C001","Movie",,"A","15:19:57.16","36","5H","3","1pt2","(0.7074 0.6785 0.6535) (0.0127 0.0034 -0.0197) (1.1171 1.1055 1.1614);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,"ND0.6 + 0.3","400","172.8°","5600 K",,"24",,,"2022-06-09T05:20:33Z","2022-06-09T05:20:33Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","15:20:33.16",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C001.mov"
"A016C002","Movie",,"A","15:21:09.12","49","5H","3","2","(0.7074 0.6785 0.6535) (0.0127 0.0034 -0.0197) (1.1171 1.1055 1.1614);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,"ND0.6 + 0.3","400","172.8°","5600 K",,"24",,,"2022-06-09T05:21:58Z","2022-06-09T05:21:58Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","15:21:58.11",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C002.mov"
"A016C003","Movie",,"A","15:54:48.22","144","7A","3","rhr","(0.7589 0.7299 0.7050) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T05:57:12Z","2022-06-09T05:57:12Z","rrr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","15:57:12.21",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C003.mov"
"A016C003 1","Movie",,"A","16:09:47.13","10","7A","3","rhr","(0.8133 0.7844 0.7594) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T06:09:57Z","2022-06-09T06:09:57Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","16:09:57.17",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C003 1.mov"
"A016C004","Movie",,"A","16:13:49.21","132","7A","3","1","(0.8133 0.7844 0.7594) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T06:16:01Z","2022-06-09T06:16:01Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","16:16:01.18",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C004.mov"
"A016C004 1","Movie",,"A","16:19:33.19","25","7A","3","2","(0.8133 0.7844 0.7594) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T06:19:58Z","2022-06-09T06:19:58Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","16:19:58.19",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C004 1.mov"
"A016C004 2","Movie",,"A","16:20:12.03","22","7A","3","3","(0.8133 0.7844 0.7594) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T06:20:34Z","2022-06-09T06:20:34Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","16:20:34.14",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C004 2.mov"
"A016C007","Movie",,"A","16:22:20.14","110","7A","3","4","(0.8133 0.7844 0.7594) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T06:24:10Z","2022-06-09T06:24:10Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","16:24:10.22",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C007.mov"
"A016C008","Movie",,"A","16:42:13.15","118","7B","3","1","(0.7460 0.7170 0.6920) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T06:44:12Z","2022-06-09T06:44:12Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","16:44:12.03",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C008.mov"
"A016C009","Movie",,"A","16:46:24.10","205","7B","3","2","(0.7460 0.7170 0.6920) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,,"800","172.8°","5600 K",,"24",,,"2022-06-09T06:49:49Z","2022-06-09T06:49:49Z","rr (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","16:49:49.02",,,,"HOUSE","INT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C009.mov"
